,text
198,"RT @AQUIBMIR7: Another other historical work by @DrJitendraSingh g .: Out of Rs 2500 Cr PMGSY Road Projects for #Jammu &amp; #Kashmir , Rs 1000…"
199,RT @PTIofficial: Human Rights Activists have started condemning the hostility of fascist Indian Government in #Kashmir. The Hitler of 20th…
200,"RT @NimraSamarrr: Women of #Kashmir continue to be the backbone of 7 decades of Struggle.

Kudos to Brave Mothers of Kashmir ❤

#WomenResis…"
201,@Debbie_abrahams Indian Occupied #Kashmir https://t.co/iXtWajEfvI
202,@ufo_vpn What about NVIP users of #Kashmir
203,"RT @KhurramAJK: Paradise Valley is bleeding 💔💔

At Night 22 and 23 Feb 2020 #IndianArmy Targeted Civil population in NeelumValley. At least…"
204,"RT @zari_pakistani: Kashmiris Use Memes to Mock Government's Social Media Ban, Slow 2G Services

Users have mocked the authorities for thei…"
205,"RT @786__Zakia: Kashmir is face of India,I love my India

Kashmir has never been""Normal""in my 24year old, and sadly it was all Pakistan's t…"
206,"RT @zari_pakistani: Two youth martyred in Kashmir by Indian troops

#LetKashmirSpeak #StandWithKashmir #SaveKashmiriWomen 

@UN @antoniogut…"
207,"RT @Samiyalatief: Goosebumps! #KashmiriWomenResistanceDay #Kashmir #KunanPoshpora 'Bella Ciao, Kashmiri version written/sung by Kashmiri wo…"
208,"RT @ZubrNazr: To all the Kashmiri people currently outside the valley, stay safe and find a way to stay in contact with your families here…"
209,"RT @LetKashmirSpeak: Over A Dozen Youth Arrested In IOK

#LetKashmirSpeak #StandWithKashmir #SaveKashmiriWomen 

@UN @antonioguterres @Jose…"
210,RT @MirDani71950948: 23 February 1991 worlds Disgraceful day. 100 women's were rapped by Indian force in #KunanPoshpora the youngest victim…
211,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
212,Tonight at 10 pm.... #Jafarabad #JaffrabadKaShaheenBagh #Jafrabadprotest #ShaheenBaghCollapse #Shaheenabagh… https://t.co/N1wJ8fDLx8
213,"RT @Sauood07: After 29 years, justice still eludes the survivors of mass rape &amp; torture in #KunanPoshpora where over 100 women were gangrap…"
214,"200+ days of lockdown in #Kashmir. Hidden behind the headlines, Kashmiris Continue to survive. Like never before.… https://t.co/a8pD5HHdkA"
215,RT @PTIOfficialISB: Human Rights Activists have started condemning the hostility of fascist Indian Government in #Kashmir. The Hitler of 20…
